locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Gdańsk Morena,ul. Franciszka Rakoczego,2,40,775000,19231,Bez pośredników,ponad tydzień temu,20,https://adresowo.pl/o/mieszkanie-gdansk-morena-ul-franciszka-rakoczego-2-pokojowe-b6r2y7,https://s2.adresowa.pl/oi/2f/74/3a5ae8_ff87_cover-2-pokojowe-mieszkanie-gdansk-morena-ul-franciszka-rakoczego.jpg
Gdańsk Oliwa,ul. Polanki,6,140,1799000,12850,Bez pośredników,dzisiajnowe,13,https://adresowo.pl/o/mieszkanie-gdansk-oliwa-ul-polanki-6-pokojowe-j5r7e6,https://s2.adresowa.pl/oi/43/70/3a9c3e_99d5_cover-6-pokojowe-mieszkanie-gdansk-oliwa-ul-polanki.jpg
Gdańsk Jasień,ul. Mariana Pelczara,2,34,475000,13971,Bez pośredników,dzisiajnowe,20,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-mariana-pelczara-2-pokojowe-z4i8q6,https://s2.adresowa.pl/oi/6b/3c/3a9c2e_35b0_cover-2-pokojowe-mieszkanie-gdansk-jasien-ul-mariana-pelczara.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/gdansk/orunia-gorna/,
Gdańsk Wrzeszcz,ul. Jesionowa,2,50,zapytaj o cenę,,Bez pośredników,,6,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-ul-jesionowa-2-pokojowe-a1e4k2,https://s2.adresowa.pl/development/671246/nowe-mieszkania-jesionowa-vita-3f7f_cover.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Gdańsk Letnica,ul. Starowiejska,1,32,560000,17500,Oferta biura nieruchomości,dzisiajnowe,9,https://adresowo.pl/o/mieszkanie-gdansk-letnica-ul-starowiejska-1-pokoj-l9l1n2,https://s2.adresowa.pl/oi/3d/78/3a9fb4_9568_cover-1-pokojowe-mieszkanie-gdansk-letnica-ul-starowiejska.jpg
Gdańsk Śródmieście,ul. ks. Jerzego Popiełuszki,3,67,1373208,20374,Oferta biura nieruchomości,dzisiajnowe,21,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-ks-jerzego-popieluszki-3-pokojowe-o5x2n2,https://s2.adresowa.pl/oi/53/42/3a9b10_a948_cover-3-pokojowe-mieszkanie-gdansk-srodmiescie-ul-ks-jerzego-popieluszki.jpg
Gdańsk Zaspa,ul. Jana Nagórskiego,3,72,1296000,18000,Bez pośredników,dzisiajnowe,8,https://adresowo.pl/o/mieszkanie-gdansk-zaspa-ul-jana-nagorskiego-3-pokojowe-e1r3z4,https://s2.adresowa.pl/oi/58/15/3a9bc4_9280_cover-3-pokojowe-mieszkanie-gdansk-zaspa-ul-jana-nagorskiego.jpg
