locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Łódź Śródmieście,ul. Andrzeja Struga,2,53,539000,10094,Bez pośredników,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-andrzeja-struga-2-pokojowe-o6a2x5,https://s2.adresowa.pl/oi/58/5a/39030c_6860_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-andrzeja-struga.jpg
Łódź Nowe Złotno,ul. Krzysztofa Cedry,2,43,475000,11047,Bez pośredników,dzisiajnowe,8,https://adresowo.pl/o/mieszkanie-lodz-nowe-zlotno-ul-krzysztofa-cedry-2-pokojowe-c2v0s8,https://s2.adresowa.pl/oi/48/1b/3a9ba8_66e8_cover-2-pokojowe-mieszkanie-lodz-nowe-zlotno-ul-krzysztofa-cedry.jpg
Łódź Bałuty,,3,52,455000,8750,Bez pośredników,dzisiajnowe,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-3-pokojowe-52-m2-j9h7t2,https://s2.adresowa.pl/oi/72/7b/3a9ad0_377b_cover-3-pokojowe-mieszkanie-lodz-baluty.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/lodz/srodmiescie-1/,
Łódź Polesie,ul. Stefana Żeromskiego,4,90,595000,6629,Bez pośredników,dzisiajnowe,12,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-stefana-zeromskiego-4-pokojowe-x5b6n2,https://s2.adresowa.pl/oi/31/11/3a9a5a_6efe_cover-4-pokojowe-mieszkanie-lodz-polesie-ul-stefana-zeromskiego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Widzew,ul. Nawrot,1,39,319000,8134,Oferta biura nieruchomości,wczorajnowe,14,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-nawrot-1-pokoj-d9h5i1,https://s2.adresowa.pl/oi/3b/77/3a9960_72d8_cover-1-pokojowe-mieszkanie-lodz-widzew-ul-nawrot.jpg
Łódź Dąbrowa,ul. Konspiracyjnego Wojska Polskiego,2,43,329000,7605,Oferta biura nieruchomości,wczorajnowe,13,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-konspiracyjnego-wojska-polskiego-2-pokojowe-w0m8k5,https://s2.adresowa.pl/oi/1d/2c/3a9844_eadb_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-konspiracyjnego-wojska-polskiego.jpg
Łódź Bałuty,ul. Zygmunta Sierakowskiego,2,47,465000,9894,Bez pośredników,wczorajnowe,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-zygmunta-sierakowskiego-2-pokojowe-s1p4u3,https://s2.adresowa.pl/oi/69/20/3a99b4_62fa_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-zygmunta-sierakowskiego.jpg
Łódź Śródmieście,ul. Pomorska,1,36,357000,9950,Bez pośredników,wczorajnowe,18,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-pomorska-1-pokoj-q9w3m8,https://s2.adresowa.pl/oi/30/46/3a99b2_43a5_cover-1-pokojowe-mieszkanie-lodz-srodmiescie-ul-pomorska.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Doły,ul. Harcerska,1,34,322000,9471,Bez pośredników,wczorajnowe,8,https://adresowo.pl/o/mieszkanie-lodz-doly-ul-harcerska-1-pokoj-f9a6k1,https://s2.adresowa.pl/oi/47/46/3a9810_6250_cover-1-pokojowe-mieszkanie-lodz-doly-ul-harcerska.jpg
Łódź Retkinia,al. ks. kard. Stefana Wyszyńskiego,1,31,289000,9341,Oferta biura nieruchomości,wczoraj,12,https://adresowo.pl/o/mieszkanie-lodz-retkinia-al-ks-kard-stefana-wyszynskiego-1-pokoj-v1p1f2,https://s2.adresowa.pl/oi/67/54/3a93aa_f801_cover-1-pokojowe-mieszkanie-lodz-retkinia-al-ks-kard-stefana-wyszynskiego.jpg
Łódź Górna,ul. Zbaraska,1,27,260000,9566,Oferta biura nieruchomości,3 dni temu,11,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-zbaraska-1-pokoj-o1v8m9,https://s2.adresowa.pl/oi/7b/43/3a8dd6_2db2_cover-1-pokojowe-mieszkanie-lodz-gorna-ul-zbaraska.jpg
Łódź Górna,ul. Jasień,3,62,609916,9801,Bez pośredników,wczorajnowe,1,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-jasien-3-pokojowe-a7o3l5,https://s2.adresowa.pl/oi/6e/3d/3a9654_ed68_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-jasien.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Żabieniec,ul. Jana Woronicza,2,44,315000,7159,Bez pośredników,wczoraj,10,https://adresowo.pl/o/mieszkanie-lodz-zabieniec-ul-jana-woronicza-2-pokojowe-d5m0v8,https://s2.adresowa.pl/oi/4d/71/3a97a8_e628_cover-2-pokojowe-mieszkanie-lodz-zabieniec-ul-jana-woronicza.jpg
Łódź Polesie,al. Adama Mickiewicza,2,47,670000,14255,Bez pośredników,wczoraj,8,https://adresowo.pl/o/mieszkanie-lodz-polesie-al-adama-mickiewicza-2-pokojowe-t3v6c8,https://s2.adresowa.pl/oi/61/2e/3a94ec_ae11_cover-2-pokojowe-mieszkanie-lodz-polesie-al-adama-mickiewicza.jpg
Łódź Julianów,ul. Żabia,4,99,897360,9030,Oferta biura nieruchomości,3 dni temu,22,https://adresowo.pl/o/mieszkanie-lodz-julianow-ul-zabia-4-pokojowe-p5x8t9,https://s2.adresowa.pl/oi/65/68/3a8ac6_a63f_cover-4-pokojowe-mieszkanie-lodz-julianow-ul-zabia.jpg
Łódź Polesie,ul. 6 Sierpnia,2,43,410360,9577,Oferta biura nieruchomości,3 dni temu,14,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-6-sierpnia-2-pokojowe-m3x2y1,https://s2.adresowa.pl/oi/58/41/3a8ac2_88bf_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-6-sierpnia.jpg
Łódź Śródmieście,,3,49,499000,10184,Bez pośredników,wczoraj,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-3-pokojowe-49-m2-y1t0w6,https://s2.adresowa.pl/oi/26/4b/3a9480_2f98_cover-3-pokojowe-mieszkanie-lodz-srodmiescie.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Śródmieście,ul. Przędzalniana,1,23,210000,9130,Bez pośredników,wczoraj,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-przedzalniana-1-pokoj-u3c7b0,https://s2.adresowa.pl/oi/4d/67/3a93c0_86ba_cover-1-pokojowe-mieszkanie-lodz-srodmiescie-ul-przedzalniana.jpg
Łódź Górna,,2,37,235000,6351,Bez pośredników,wczoraj,4,https://adresowo.pl/o/mieszkanie-lodz-gorna-2-pokojowe-37-m2-m5l7r6,https://s2.adresowa.pl/oi/15/20/3a93b4_fdcb_cover-2-pokojowe-mieszkanie-lodz-gorna.jpg
Łódź Chojny,ul. Bałtycka,2,44,399000,9007,Oferta biura nieruchomości,6 dni temu,14,https://adresowo.pl/o/mieszkanie-lodz-chojny-ul-baltycka-2-pokojowe-f5b7s1,https://s2.adresowa.pl/oi/71/74/3a80f8_f670_cover-2-pokojowe-mieszkanie-lodz-chojny-ul-baltycka.jpg
Łódź,ul. Pasterska,1,42,370000,8726,Oferta biura nieruchomości,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-ul-pasterska-1-pokoj-o4d9k0,https://s2.adresowa.pl/oi/74/1f/3a7afc_8fc5_cover-1-pokojowe-mieszkanie-lodz-ul-pasterska.jpg
Łódź Widzew,ul. Ruska,2,38,530000,13947,Bez pośredników,wczoraj,13,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-ruska-2-pokojowe-e8y0r3,https://s2.adresowa.pl/oi/1c/1c/3a937a_3b99_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-ruska.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Widzew,ul. Gustawa Morcinka,2,38,300000,7862,Bez pośredników,wczoraj,20,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-gustawa-morcinka-2-pokojowe-b9i2u6,https://s2.adresowa.pl/oi/7d/55/3a936e_bdaf_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-gustawa-morcinka.jpg
Łódź Polesie,,1,33,250000,7613,Bez pośredników,wczoraj,8,https://adresowo.pl/o/mieszkanie-lodz-polesie-1-pokoj-32-m2-s3k4u0,https://s2.adresowa.pl/oi/58/3f/3a9368_34ea_cover-1-pokojowe-mieszkanie-lodz-polesie.jpg
Łódź Śródmieście,,2,52,450000,8652,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-2-pokojowe-52-m2-t7y5n8,https://s2.adresowa.pl/oi/37/79/3a7af4_9769_cover-2-pokojowe-mieszkanie-lodz-srodmiescie.jpg
Łódź Retkinia,ul. Olimpijska,1,31,267000,8613,Oferta biura nieruchomości,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-olimpijska-1-pokoj-l4r5h1,https://s2.adresowa.pl/oi/58/30/3a75dc_c5f8_cover-1-pokojowe-mieszkanie-lodz-retkinia-ul-olimpijska.jpg
